participant_id,joe_context,stimulus,condition,univ_judgment,excluded
R_el1TUQvCIAwDR5L,No C,no_line_C,1cut,50.0,False
R_el1TUQvCIAwDR5L,No D,no_line_D,1cut,47.0,False
R_el1TUQvCIAwDR5L,Yes B,yes_line_B,1cut,0.0,False
R_el1TUQvCIAwDR5L,Yes C,yes_line_C,1cut,11.0,False
R_el1TUQvCIAwDR5L,Yes D,yes_line_D,1cut,15.0,False
R_el1TUQvCIAwDR5L,Yes E,yes_line_E,1cut,-33.0,False
R_el1TUQvCIAwDR5L,Yes F,yes_line_F,1cut,-5.0,False
R_2aLg1pNUmyUyafN,No 1,no_line_1,1cut,10.0,False
R_2aLg1pNUmyUyafN,No 2,no_line_2,1cut,-30.0,False
R_2aLg1pNUmyUyafN,No 3,no_line_3,1cut,-15.0,False
R_2aLg1pNUmyUyafN,Yes 1,yes_line_7,1cut,-10.0,False
R_2aLg1pNUmyUyafN,Yes 2,yes_line_8,1cut,-15.0,False
R_2aLg1pNUmyUyafN,Yes 3,yes_line_9,1cut,10.0,False
R_2aLg1pNUmyUyafN,Yes 4,yes_line_10,1cut,-20.0,False
R_2aLg1pNUmyUyafN,New Yes 7,7esque,1cut,0.0,False
R_2aLg1pNUmyUyafN,New Yes 9,9esque,1cut,10.0,False
R_2aLg1pNUmyUyafN,New Yes 10,10esque,1cut,-5.0,False
R_2aLg1pNUmyUyafN,Maybe 1,maybe_4,1cut,30.0,False
R_2aLg1pNUmyUyafN,Maybe 2,maybe_5,1cut,15.0,False
R_2aLg1pNUmyUyafN,Maybe 3,maybe_6,1cut,20.0,False
R_2aLg1pNUmyUyafN,New Maybe 1,new_maybe_1,1cut,10.0,False
R_2aLg1pNUmyUyafN,New Maybe 2,new_maybe_2,1cut,15.0,False
R_2aLg1pNUmyUyafN,New Maybe 3,new_maybe_3,1cut,0.0,False
R_2aLg1pNUmyUyafN,New Maybe 4,new_maybe_4,1cut,-5.0,False
R_2aLg1pNUmyUyafN,New Maybe 5,new_maybe_5,1cut,-35.0,False
R_2aLg1pNUmyUyafN,New Maybe 6,new_maybe_6,1cut,10.0,False
R_2aLg1pNUmyUyafN,No A,no_line_A,1cut,20.0,False
R_2aLg1pNUmyUyafN,No B,no_line_B,1cut,40.0,False
R_2aLg1pNUmyUyafN,No C,no_line_C,1cut,46.0,False
R_2aLg1pNUmyUyafN,No D,no_line_D,1cut,25.0,False
R_2aLg1pNUmyUyafN,Yes B,yes_line_B,1cut,-10.0,False
R_2aLg1pNUmyUyafN,Yes C,yes_line_C,1cut,10.0,False
R_2aLg1pNUmyUyafN,Yes D,yes_line_D,1cut,5.0,False
R_2aLg1pNUmyUyafN,Yes E,yes_line_E,1cut,-40.0,False
R_2aLg1pNUmyUyafN,Yes F,yes_line_F,1cut,10.0,False
R_1hTodwWx3dCHEuv,No 1,no_line_1,1cut,44.0,False
R_1hTodwWx3dCHEuv,No 2,no_line_2,1cut,40.0,False
