run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
29,18,25,20,17,16,16,20,18,no_line_B,211263,0.0001,1000,8,427.617129167,2.3043478260869565,12.0,0.06521739130434782,-0.41304347826086957,-0.08739583333333334
30,18,25,16,21,16,16,18,18,no_line_B,211264,0.0001,1000,8,378.288977875,2.347826086956522,12.0,0.06521739130434782,-0.41304347826086957,-0.08467060810810811
31,20,33,16,24,16,16,20,18,no_line_B,211265,0.0001,1000,8,465.509145916,2.0217391304347827,13.0,0.2826086956521739,-0.2391304347826087,-0.031393788343558215
32,18,24,16,20,16,16,20,18,no_line_B,211266,0.0001,1000,8,294.89044425,2.347826086956522,11.0,0.043478260869565216,-0.43478260869565216,-0.08973817567567566
33,20,26,16,19,16,16,21,18,no_line_B,211267,0.0001,1000,8,307.98689375,2.260869565217391,12.0,0.13043478260869565,-0.391304347826087,-0.07524671052631571
34,18,19,17,19,16,16,21,18,no_line_B,211268,0.0001,1000,8,404.629158292,2.4347826086956523,11.0,0.0,-0.5,-0.11545138888888884
35,20,34,21,17,16,16,18,18,no_line_B,211269,0.0001,1000,8,532.436049792,2.0869565217391304,15.0,0.30434782608695654,-0.21739130434782608,-0.0390625
36,19,21,16,23,16,16,24,18,no_line_B,211270,0.0001,1000,8,566.59609475,2.239130434782609,12.0,0.021739130434782608,-0.43478260869565216,-0.07664419934640532
37,18,18,16,19,16,16,23,18,no_line_B,211271,0.0001,1000,8,454.072292291,2.4347826086956523,10.0,0.0,-0.45652173913043476,-0.10329861111111116
38,20,23,19,17,16,16,21,18,no_line_B,211272,0.0001,1000,8,519.020694,2.3043478260869565,13.0,0.06521739130434782,-0.45652173913043476,-0.09406249999999994
39,20,26,22,17,16,16,25,18,no_line_B,211273,0.0001,1000,8,541.188181167,2.0869565217391304,13.0,0.13043478260869565,-0.391304347826087,-0.06093750000000009
40,19,21,16,19,16,16,23,18,no_line_B,211274,0.0001,1000,8,403.133981208,2.347826086956522,12.0,0.021739130434782608,-0.45652173913043476,-0.09311655405405395
41,20,24,16,25,16,16,19,18,no_line_B,211275,0.0001,1000,8,407.472322541,2.217391304347826,14.0,0.08695652173913043,-0.41304347826086957,-0.0699066558441559
42,18,24,16,19,16,16,29,18,no_line_B,211276,0.0001,1000,8,336.476130542,2.1739130434782608,11.0,0.043478260869565216,-0.32608695652173914,-0.051883012820512775
43,18,21,16,19,16,16,22,18,no_line_B,211277,0.0001,1000,8,342.087059375,2.391304347826087,11.0,0.0,-0.4782608695652174,-0.09899400684931514
44,19,23,16,19,16,16,22,18,no_line_B,211278,0.0001,1000,8,434.154910584,2.3260869565217392,12.0,0.043478260869565216,-0.45652173913043476,-0.08939807046979875
45,19,25,16,19,16,16,26,18,no_line_B,211279,0.0001,1000,8,317.53997825,2.1956521739130435,12.0,0.08695652173913043,-0.391304347826087,-0.06325604838709675
46,20,21,16,19,16,16,19,25,no_line_B,211280,0.0001,1000,8,491.757715292,2.260869565217391,10.0,0.043478260869565216,-0.41304347826086957,-0.08182565789473695
47,18,26,16,19,16,16,29,18,no_line_B,211281,0.0001,1000,8,609.779645375,2.130434782608696,11.0,0.08695652173913043,-0.32608695652173914,-0.04539161392405067
48,19,21,16,24,16,16,19,18,no_line_B,211282,0.0001,1000,8,486.782092416,2.3260869565217392,13.0,0.021739130434782608,-0.43478260869565216,-0.08772021812080544
49,18,21,16,21,16,16,27,18,no_line_B,211283,0.0001,1000,8,476.408114375,2.239130434782609,11.0,0.0,-0.3695652173913043,-0.06847426470588225
50,18,32,16,19,16,16,21,18,no_line_B,211284,0.0001,1000,8,350.431159209,2.1739130434782608,11.0,0.21739130434782608,-0.2608695652173913,-0.047075320512820484
