country,stimulus,judgment_mean,judgment_stdev,sample_size
India,new_yes_8_1cut,2.7586206896551726,1.6830069266853702,29
India,new_maybe_2_1cut,3.642857142857143,1.5685399135238671,28
India,new_maybe_6_1cut,3.53125,1.458774894748462,32
India,new_yes_10_1cut,2.24,1.4798648586948742,25
India,new_maybe_3_bad,3.1666666666666665,1.7362294645648626,24
India,new_yes_10mod_1cut,1.9642857142857142,1.231745008999739,28
India,new_maybe_4_bad,2.6153846153846154,1.6988684016585411,26
India,noline_A_1cut,3.6923076923076925,1.6247080086465764,39
India,yesline_E_1cut,1.6944444444444444,1.1909046847896638,36
India,noline_C_1cut,3.6785714285714284,1.588233853211413,28
India,new_maybe_4_1cut,3.392857142857143,1.4991179064218054,28
India,yesline_D_1cut,3.225806451612903,1.4991036748527398,31
India,new_maybe_3_badder,1.967741935483871,1.4019955056452436,31
India,yesline_B_bad,2.757575757575758,1.4583874448835397,33
India,new_maybe_5_1cut,3.484848484848485,1.4815788057257562,33
India,new_maybe_1_1cut,3.2413793103448274,1.5504647324913612,29
India,new_no_1_1cut,3.68,1.3759844960366863,25
India,yesline_C_bad,3.4482758620689653,1.3518824678560455,29
India,yesline_F_1cut,3.53125,1.544696963704344,32
India,noline_B_1cut,4.037037037037037,1.4000406994491126,27
India,new_no_3_1cut,4.0,1.2961481396815724,26
India,yesline_B_1cut,3.357142857142857,1.5447470298542045,28
India,yesline_D_bad,2.6774193548387095,1.5140915158204837,31
Israel,new_maybe_6_1cut,3.12,1.5631165450257807,25
Israel,new_maybe_2_1cut,3.4,1.4762487408386116,30
Israel,new_maybe_4_1cut,2.896551724137931,1.5889086008552917,29
Israel,new_yes_10_bad,1.4666666666666666,0.9732042112432565,30
Israel,yesline_D_bad,2.4827586206896552,1.2136335542250334,29
Israel,new_yes_9_1cut,3.1785714285714284,1.306779230655262,28
Israel,new_no_3_1cut,3.7916666666666665,1.3824731042801415,24
Israel,new_yes_9esque_1cut,3.0,1.3844373104863459,25
Israel,new_no_1_1cut,3.8275862068965516,1.2836600995713494,29
Israel,yesline_C_1cut,3.9411764705882355,1.3470771157558967,34
Israel,new_yes_7_1cut,1.6153846153846154,1.0228166239135177,26
Israel,noline_C_1cut,3.84,1.462873883832779,25
Israel,maybe_6_1cut,4.0,1.1547005383792515,28
Israel,maybe_5_1cut,4.1,1.3726654823065194,20
Israel,new_yes_10_1cut,1.4444444444444444,0.8006407690254357,27
Israel,new_maybe_3_1cut,3.5,1.3743685418725535,28
Israel,yesline_B_1cut,3.8,1.4948186373673191,30
Israel,yesline_D_badder,2.269230769230769,1.3433597376039617,26
Israel,noline_A_1cut,3.7037037037037037,1.5144131845197641,27
Israel,maybe_4_1cut,4.147058823529412,1.3736117607105038,34
Israel,new_maybe_3_badder,2.2,1.2583057392117916,25
Israel,new_maybe_5_bad,1.53125,0.9498514315067825,32
Israel,new_yes_7esque_1cut,1.6551724137931034,1.1425492196014237,29
Israel,yesline_E_1cut,1.4166666666666667,0.7755316082290384,24
Israel,new_yes_10mod_1cut,1.962962962962963,1.0554430889252693,27
Israel,new_yes_8_1cut,1.5833333333333333,1.017954755408103,24
Israel,yesline_B_badder,2.103448275862069,1.4228951268002576,29
Israel,new_no_2_1cut,4.3,1.1188047809743373,30
