country,split_half_corr,subsample_size,seed,portion_excluded,n_after_exclusions,label
Brazil,0.7148301421653622,2059,329552,0.2446043165467626,105,N = 105
Brazil,0.6755545666757306,2059,841713,0.2446043165467626,105,N = 105
Brazil,0.6160027383085437,2059,425248,0.2446043165467626,105,N = 105
Brazil,0.7077301748251421,2059,448873,0.2446043165467626,105,N = 105
Brazil,0.7622867755892807,2059,757420,0.2446043165467626,105,N = 105
Brazil,0.71695155084647,2059,370508,0.2446043165467626,105,N = 105
Brazil,0.6192148765662989,2059,753218,0.2446043165467626,105,N = 105
Brazil,0.527573734940203,2059,482669,0.2446043165467626,105,N = 105
Brazil,0.6043059709030941,2059,8054,0.2446043165467626,105,N = 105
Brazil,0.6649192708232167,2059,92181,0.2446043165467626,105,N = 105
Brazil,0.6579139102140094,2059,763776,0.2446043165467626,105,N = 105
Brazil,0.6256429470242254,2059,226683,0.2446043165467626,105,N = 105
Canada,0.8927669174907479,2059,979350,0.1896551724137931,94,N = 94
Canada,0.8286985376028816,2059,976699,0.1896551724137931,94,N = 94
Canada,0.8715423446647801,2059,987940,0.1896551724137931,94,N = 94
Canada,0.8572208404183999,2059,380195,0.1896551724137931,94,N = 94
Canada,0.8707951571495226,2059,171359,0.1896551724137931,94,N = 94
Canada,0.8612800489768497,2059,923246,0.1896551724137931,94,N = 94
Canada,0.8417918157821421,2059,104892,0.1896551724137931,94,N = 94
Canada,0.8320081637740332,2059,261692,0.1896551724137931,94,N = 94
Canada,0.8643403734649427,2059,138780,0.1896551724137931,94,N = 94
Canada,0.8606172216598951,2059,319097,0.1896551724137931,94,N = 94
Canada,0.8187566701176268,2059,536048,0.1896551724137931,94,N = 94
Canada,0.8900867593769228,2059,118091,0.1896551724137931,94,N = 94
Canada,0.8612882930516078,2059,795857,0.1896551724137931,94,N = 94
Canada,0.8223253757868247,2059,241766,0.1896551724137931,94,N = 94
Canada,0.8518669005737346,2059,786055,0.1896551724137931,94,N = 94
Canada,0.8296375900661661,2059,318533,0.1896551724137931,94,N = 94
Canada,0.7815260737428149,2059,793492,0.1896551724137931,94,N = 94
Canada,0.8327876865800152,2059,964079,0.1896551724137931,94,N = 94
Canada,0.8756579432790861,2059,958329,0.1896551724137931,94,N = 94
Canada,0.9117867053386625,2059,263649,0.1896551724137931,94,N = 94
Canada,0.8213440361998698,2059,555616,0.1896551724137931,94,N = 94
Canada,0.8769236662508942,2059,441006,0.1896551724137931,94,N = 94
Canada,0.7986767693939689,2059,254718,0.1896551724137931,94,N = 94
Canada,0.8514012053521495,2059,609870,0.1896551724137931,94,N = 94
Canada,0.7819854227955393,2059,897098,0.1896551724137931,94,N = 94
Canada,0.810591525231441,2059,863621,0.1896551724137931,94,N = 94
Canada,0.8642974106598439,2059,645975,0.1896551724137931,94,N = 94
Canada,0.8600173469502195,2059,863757,0.1896551724137931,94,N = 94
Canada,0.8230794441914792,2059,518468,0.1896551724137931,94,N = 94
Canada,0.8658921006729086,2059,674881,0.1896551724137931,94,N = 94
Canada,0.8506287770858529,2059,955081,0.1896551724137931,94,N = 94
Canada,0.8174486536478058,2059,659874,0.1896551724137931,94,N = 94
Canada,0.827740198074913,2059,47258,0.1896551724137931,94,N = 94
Canada,0.8661322412559,2059,735757,0.1896551724137931,94,N = 94
Canada,0.7997886022476741,2059,738672,0.1896551724137931,94,N = 94
Canada,0.8633276337555112,2059,222753,0.1896551724137931,94,N = 94
Canada,0.7734912854962441,2059,867086,0.1896551724137931,94,N = 94
Canada,0.7972217512570356,2059,172066,0.1896551724137931,94,N = 94
Canada,0.8117560893802898,2059,788717,0.1896551724137931,94,N = 94
Canada,0.7933030054294881,2059,870414,0.1896551724137931,94,N = 94
Canada,0.8461722309850734,2059,482842,0.1896551724137931,94,N = 94
Canada,0.8511378628999895,2059,60138,0.1896551724137931,94,N = 94
Canada,0.845925798221728,2059,162333,0.1896551724137931,94,N = 94
Canada,0.861807059020056,2059,683688,0.1896551724137931,94,N = 94
Canada,0.8278474215517077,2059,41563,0.1896551724137931,94,N = 94
Canada,0.869957531132562,2059,671238,0.1896551724137931,94,N = 94
Canada,0.8060290074306063,2059,139734,0.1896551724137931,94,N = 94
Canada,0.8705778417957405,2059,611017,0.1896551724137931,94,N = 94
Canada,0.805887909749023,2059,548738,0.1896551724137931,94,N = 94
Canada,0.8847232260431889,2059,60137,0.1896551724137931,94,N = 94
Canada,0.8627242624048721,2059,178486,0.1896551724137931,94,N = 94
Canada,0.8708836391242379,2059,977769,0.1896551724137931,94,N = 94
Canada,0.7728078631117478,2059,403427,0.1896551724137931,94,N = 94
Canada,0.8568010609028358,2059,438951,0.1896551724137931,94,N = 94
Canada,0.8572931664878832,2059,453288,0.1896551724137931,94,N = 94
Canada,0.8053721518418766,2059,532595,0.1896551724137931,94,N = 94
