"subject.code","answer","context","condition","badness"
"R_2uxDBKloZO3l4p5",-35,"Maybe 3 Badder","maybe","badder"
"R_2WCjAMrzmDLSd1H",-31,"Maybe 3 Badder","maybe","badder"
"R_2Y55QH959rCKwBe",-40,"Maybe 3 Badder","maybe","badder"
"R_2YRJa3vIbwJ9jsl",-38,"Maybe 3 Badder","maybe","badder"
"R_2zGesJmcZ2DxCol",7,"Maybe 3 Badder","maybe","badder"
"R_31pzf0Jx1WFjqlw",-50,"Maybe 3 Badder","maybe","badder"
"R_33dMzf9QgBTvzIa",-32,"Maybe 3 Badder","maybe","badder"
"R_3dLWRwgFtRAUU16",-25,"Maybe 3 Badder","maybe","badder"
"R_3fdF6udlM8Cxmn2",-35,"Maybe 3 Badder","maybe","badder"
"R_3g0FAV2qa3JazkP",-50,"Maybe 3 Badder","maybe","badder"
"R_3GdfcgvTi8pXOSv",-46,"Maybe 3 Badder","maybe","badder"
"R_3istlOYztRUWLYY",40,"Maybe 3 Badder","maybe","badder"
"R_3KrwIEiFNwyLrls",-31,"Maybe 3 Badder","maybe","badder"
"R_3mk0cu2a0kcfaSa",-50,"Maybe 3 Badder","maybe","badder"
"R_3nBCqCUtqVFTrI0",-29,"Maybe 3 Badder","maybe","badder"
"R_6rOmpFR4YjwG0BX",32,"Maybe 3 Badder","maybe","badder"
"R_9sh4pIR37U64lfb",-5,"Maybe 3 Badder","maybe","badder"
"R_CZz6qgVfnScHiq5",-5,"Maybe 3 Badder","maybe","badder"
"R_d71WN2oRhe3kdrP",-50,"Maybe 3 Badder","maybe","badder"
"R_eeMg8U5womHNF61",8,"Maybe 3 Badder","maybe","badder"
"R_el1TUQvCIAwDR5L",-14,"Maybe 3 Badder","maybe","badder"
"R_PGapHcX7F2JrNlL",-50,"Maybe 3 Badder","maybe","badder"
"R_ufUR3Su9erPZhyp",-20,"Maybe 3 Badder","maybe","badder"
"R_XXOsEe77FrCYtd7",-10,"Maybe 3 Badder","maybe","badder"
"R_yDAXwlOgsRhNQ7n",16,"Maybe 3 Badder","maybe","badder"
"R_yOe552T3O8bum1H",40,"Maybe 3 Badder","maybe","badder"
"R_ZwUKUhG7ztdMPbr",-43,"Maybe 3 Badder","maybe","badder"
"R_1EYCOF0MawdNwGL",27,"Maybe 4 Bad","maybe","bad"
"R_1gpcMqQw3MgxmQj",5,"Maybe 4 Bad","maybe","bad"
"R_1hTodwWx3dCHEuv",-4,"Maybe 4 Bad","maybe","bad"
"R_1i9eQNz0x41R0gv",-10,"Maybe 4 Bad","maybe","bad"
"R_1jNGHGsMwnv28ul",20,"Maybe 4 Bad","maybe","bad"
"R_1kIcX7Z0ftlxVr6",-8,"Maybe 4 Bad","maybe","bad"
